,BenchmarkName,TestFilePath,TestCaseName,QuantidadeRotulosPositivo
23,objection.js,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js/tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions fooBar .*.*.* foo_bar .*.*.* fooBar,0
24,objection.js,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js/tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions foo1Bar2 .*.*.* foo_1_bar_2 .*.*.* foo1Bar2,0
25,objection.js,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js/tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions fooBAR .*.*.* foo_bar .*.*.* fooBar,0
26,objection.js,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js/tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions fooBaR .*.*.* foo_ba_r .*.*.* fooBaR,0
27,objection.js,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js/tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions föö .*.*.* föö .*.*.* föö,0
28,objection.js,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js/tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions fööBär .*.*.* föö_bär .*.*.* fööBär,0
29,objection.js,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js/tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions föö1Bär2 .*.*.* föö_1_bär_2 .*.*.* föö1Bär2,0
30,objection.js,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js/tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions föö09Bär90 .*.*.* föö_09_bär_90 .*.*.* föö09Bär90,0
31,objection.js,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js/tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions fööBÄR .*.*.* föö_bär .*.*.* fööBär,0
32,objection.js,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js/tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions fööBäR .*.*.* föö_bä_r .*.*.* fööBäR,0
33,objection.js,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js/tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions foo1bar2 .*.*.* foo_1bar_2 .*.*.* foo1bar2,0
34,objection.js,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js/tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions Foo .*.*.* foo .*.*.* foo,0
35,objection.js,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js/tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions FooBar .*.*.* foo_bar .*.*.* fooBar,0
36,objection.js,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js/tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions märkäLänttiÄäliö .*.*.* märkä_läntti_ääliö .*.*.* märkäLänttiÄäliö,0
37,objection.js,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js/tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions fooBar:spamBaz:troloLolo .*.*.* foo_bar:spam_baz:trolo_lolo .*.*.* fooBar:spamBaz:troloLolo,0
38,objection.js,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js/tests/unit/utils.js,utils snakeCase module snakeCase and camelCase functions fooBar.spamBaz.troloLolo .*.*.* foo_bar.spam_baz.trolo_lolo .*.*.* fooBar.spamBaz.troloLolo,0
39,objection.js,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js/tests/unit/utils.js,utils promiseUtils map should work like Promise.all if concurrency is not given,1
40,objection.js,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js/tests/unit/utils.js,utils promiseUtils map should not start new operations after an error has been thrown,5
41,objection.js,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js/tests/unit/utils.js,utils promiseUtils map .*Removing nondeterminism.* should not start new operations after an error has been thrown,5
42,objection.js,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js/tests/unit/utils.js,utils promiseUtils map should only run opt.concurrency operations at a time,0
43,objection.js,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js/tests/unit/utils.js,utils promiseUtils map should work with synchronous callbacks,1
44,objection.js,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js/tests/unit/utils.js,utils jsonEquals should work with primitives,0
45,objection.js,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js/tests/unit/utils.js,utils jsonEquals should work with arrays,0
46,objection.js,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js/tests/unit/utils.js,utils jsonEquals should work with objects,0
47,objection.js,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/objection.js/tests/unit/utils.js,utils jsonEquals should work with nested stuff,0
