BenchmarkName,TestFilePath,TestCaseName,InvokeFunPre_Count_Raw,InvokeFunPre_Count_Normalized,Invokes_with_callback_Raw,Invokes_with_callback_Normalized,Cbs_Total_delay_ms_Raw,Cbs_Total_delay_ms_Normalized,Cb_Delays_Greater_Than_100_ms_Raw,Cb_Delays_Greater_Than_100_ms_Normalized,InvokesInterval_Greater_Than_100_ms_Raw,InvokesInterval_Greater_Than_100_ms_Normalized,AsyncFunction_Count_Raw,AsyncFunction_Count_Normalized,Await_Count_Raw,Await_Count_Normalized,Unique_Asynchook_ids_Raw,Unique_Asynchook_ids_Normalized,totalSettledPromises_Raw,totalSettledPromises_Normalized,avgResolved_Raw,avgResolved_Normalized,avgRejected_Raw,avgRejected_Normalized,longestResolved_Raw,longestResolved_Normalized,resolvedPercentage_Raw,resolvedPercentage_Normalized,awaitIntervals_Raw,awaitIntervals_Normalized,Total_duration_s,HasEventRace
node-archiver,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/node-archiver/test/archiver.js,"archiver api #file should append multiple entries",16618,0.1557377049180328,12,0.4,9005.410847997293,0.17616970732494294,7,0.6,12,0.45454545454545453,0,0,0,0,18,0.16470588235294117,2,1,79,0.3843137254901961,0,0,122,0.6694214876033058,100,1,0,0,"15.146",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/node-archiver/test/archiver.js,"archiver api #file should append filepath",16621,0.1598360655737705,12,0.4,10634.652352998033,0.36130185876751125,7,0.6,13,0.5454545454545454,0,0,0,0,18,0.16470588235294117,2,1,122.5,0.7254901960784313,0,0,138,0.8016528925619835,100,1,0,0,"17.601",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/node-archiver/test/archiver.js,"archiver api #file should fallback to filepath when no name is set",16617,0.15437158469945356,12,0.4,10687.548152996227,0.36731245524807227,8,0.8,16,0.8181818181818182,0,0,0,0,18,0.16470588235294117,2,1,65.5,0.2784313725490196,0,0,105,0.5289256198347108,100,1,0,0,"18.058",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/node-archiver/test/archiver.js,"archiver api #file should fallback to file stats when applicable",16621,0.1598360655737705,12,0.4,11324.845036001876,0.43972906303540266,6,0.4,13,0.5454545454545454,0,0,0,0,18,0.16470588235294117,2,1,84,0.4235294117647059,0,0,131,0.743801652892562,100,1,0,0,"17.960",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/node-archiver/test/archiver.js,"archiver api #glob should append multiple entries",16798,0.4016393442622951,16,0.6,13572.87447100319,0.6951746335850096,8,0.8,13,0.5454545454545454,0,0,0,0,45,0.4823529411764706,2,1,93,0.49411764705882355,0,0,140,0.8181818181818182,100,1,0,0,"18.712",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/node-archiver/test/archiver.js,"archiver api #promise should use a promise",16597,0.12704918032786885,8,0.2,9834.74230399914,0.27040737328015074,6,0.4,12,0.45454545454545453,0,0,0,0,11,0.08235294117647059,2,1,122.5,0.7254901960784313,0,0,138,0.8016528925619835,100,1,0,0,"17.612",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/node-archiver/test/archiver.js,"archiver api #errors should allow continue on stat failing",16593,0.12158469945355191,9,0.25,12528.727188000455,0.5765272554450078,7,0.6,13,0.5454545454545454,0,0,0,0,15,0.12941176470588237,2,1,73,0.33725490196078434,0,0,120,0.6528925619834711,100,1,0,0,"18.447",True
node-archiver,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/node-archiver/test/plugins.js,"plugins tar should append multiple entries",16873,0.5040983606557377,23,0.95,14424.100299995393,0.7919001764840279,8,0.8,10,0.2727272727272727,0,0,0,0,55,0.6,2,1,37,0.054901960784313725,0,0,46,0.04132231404958678,100,1,0,0,"19.718",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/node-archiver/test/plugins.js,"plugins tar should append buffer",16876,0.5081967213114754,23,0.95,12470.518823996186,0.5699129876234564,8,0.8,8,0.09090909090909091,0,0,0,0,55,0.6,2,1,80.5,0.396078431372549,0,0,130,0.7355371900826446,100,1,0,0,"19.163",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/node-archiver/test/plugins.js,"plugins tar should append stream",16876,0.5081967213114754,23,0.95,13111.693048000336,0.6427701810935881,8,0.8,8,0.09090909090909091,0,0,0,0,55,0.6,2,1,98.5,0.5372549019607843,0,0,144,0.8512396694214877,100,1,0,0,"18.606",Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/node-archiver/test/plugins.js,"plugins tar should append folder",16876,0.5081967213114754,23,0.95,12276.973176002502,0.5479202246687707,8,0.8,9,0.18181818181818182,0,0,0,0,55,0.6,2,1,112.5,0.6470588235294118,0,0,162,1,100,1,0,0,"19.530",Undefined
